id,courses_title,degree_field,exp_duration,url,skills,skill_1,skill_2,skill_3,cert_titles,exp_group
kai-chen-2017,"['algorithms c++', 'numerical physics', 'programming java', 'statistic', 'quantum field theory', 'applied linear regression model', 'elements statistical learning', 'probability theory']","['Materials Science and Engineering Cluster', 'Physical Sciences and Engineering']",137,https://www.linkedin.com/in/kai-chen-2017,"['Logistic', 'Data', 'Machine']",logistic regression,data analysis,machine learning,"['Big Data Integration and Processing', 'Design Patterns', 'Introduction to Big Data', 'Machine Learning With Big Data', 'Software Architecture', 'Machine Learning Engineer Nanodegree', 'Object-Oriented Design']",1
alisse-h-83048a104,"['automata', 'c/software tools', 'data structures', 'discrete math', 'ethics computing', 'foundations cultural competence', 'human computer interaction', 'intro computing systems', 'intro java', 'operating systems', 'prog concepts java', 'software engineering']",['Computer Science and Engineering'],10,https://www.linkedin.com/in/alisse-h-83048a104,"['Error', 'Diagnosis', 'Log', 'Analysis', 'Remote', 'Support']",error code diagnosis,log file analysis,remote desktop support,"['Lab Developer Recognition - Skillable Announcement', 'Technical Leadership Development Program - Alumni', 'Lab Developer Recognition - First Lab Published', 'CSS Trainer', 'Kepner Tregoe Practitioner']",0
audrey-champeau-06b49454,[''],"['Language and Computation', 'Languages and Literature', 'STEM']",19,https://www.linkedin.com/in/audrey-champeau-06b49454/en,"['JavaScript', 'Python', 'Code']",javascript programming,python programming,code linting,[],0
bgrawi,[''],['Web Development and Design'],161,https://www.linkedin.com/in/bgrawi,"['Full-stack', 'Web', 'Server']",full-stack development,web design,server administration,[],1
hui-fu-34664115,[''],[],216,https://www.linkedin.com/in/hui-fu-34664115,"['Troubleshooting', 'techniques']",troubleshooting operating systems,kernel tuning,debugging techniques,['Learning Vulnerability Management'],1
chandra-prakash-konkimalla-1a2596a6,[''],"['Computer Science and Engineering', 'Electrical Engineering and Electronics']",33,https://www.linkedin.com/in/chandra-prakash-konkimalla-1a2596a6,"['Data', 'Model', 'AI']",data analysis,model building,ai algorithms,[],0
sanat-pandey-8a771911,[''],"['Electrical and Computer Engineering', 'Electrical Engineering and Related Disciplines', 'Natural Sciences and Mathematics', 'Natural and Applied Sciences']",153,https://www.linkedin.com/in/sanat-pandey-8a771911,"['gRPC', 'development', 'JavaScript', 'techniques', 'Functional', 'principles']",grpc client/server development,javascript debugging techniques,functional programming principles,[],1
eeshagitay,[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",47,https://www.linkedin.com/in/eeshagitay,"['Object-oriented', 'implementation', 'High-performance']",object-oriented programming,grpc implementation,high-performance coding,['PEGA Certified System Architect'],0
alon-altman-9245974,[''],"['Systems Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering']",287,https://www.linkedin.com/in/alon-altman-9245974,"['Go', 'development', 'Natural', 'processing']",go programming,grpc development,natural language processing,[],2
genem,[''],[],14,https://www.linkedin.com/in/genem,"['Big', 'engineering', 'Data', 'engineering']",big data analysis,data engineering fundamentals,data science-to-data engineering transition,"['Professional Cloud Architect', 'Professional Data Engineer']",0
jihoon-han-97451580,[''],"['Electrical Engineering and Related Disciplines', 'Electrical and Computer Engineering']",37,https://www.linkedin.com/in/jihoon-han-97451580,"['Microcontroller', 'Programming Paradigms', 'PCB']",microcontroller programming,plc programming,pcb design,[],0
wenjun-zeng-4671a7a6,[''],"['Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering']",51,https://www.linkedin.com/in/wenjun-zeng-4671a7a6,"['Machine', 'management']",machine learning modeling,cloud deployment,kubernetes management,[],0
cory-walker-270a614b,[''],['Engineering and Applied Sciences'],21,https://www.linkedin.com/in/cory-walker-270a614b,"['Data', 'Model', 'Hyperparameter']",data preprocessing,model building,hyperparameter tuning,[],0
ashar-saleem-405b08b6,[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Electronics']",62,https://www.linkedin.com/in/ashar-saleem-405b08b6,"['Debugging', 'GitHub', 'Data', 'Node.js']",debugging javascript,github for data science,node.js testing,[],0
kishore-reddy-sudini,[''],"['Electrical Engineering and Electronics', 'Communications and Electronics Engineering']",17,https://www.linkedin.com/in/kishore-reddy-sudini,"['FPGA', 'Synthesis', 'Software']",fpga design,eurorack synthesis,software architecture,['Machine Learning & AI Foundations: Recommendations'],0
kz23,"['artificial intelligence', 'computer systems architecture', 'design analysis algorithms', 'introduction database systems', 'introduction deep learning', 'r data science', 'regression linear models', 'statistical machine learning', 'tools models - data science', 'web development design']","['Computational Sciences and Engineering', 'Civil and Architectural Engineering', 'Civil and Architectural Engineering']",25,https://www.linkedin.com/in/kz23,"['Image', 'Deep', 'Recommender', 'Design']",image manipulation,deep learning,recommender system design,['Triplebyte Certified Data Scientist'],0
anandoza,[''],['Computational Mathematics and Engineering'],117,https://www.linkedin.com/in/anandoza,"['Problem', 'manipulation', 'Asynchronous']",problem solving,data manipulation,asynchronous programming,[],1
amir-abdelfattah-081540129,[''],['Humanities and Social Studies'],0,https://www.linkedin.com/in/amir-abdelfattah-081540129,"['Music', 'macOS', 'iOS']",music production,macos troubleshooting,ios navigation,"['Apple Certified Mac Technician', 'MacBook Pro Qualification', 'iOS Qualification']",0
paul-mclean-65850515a,[''],['Mechanical Engineering and Related Fields'],35,https://www.linkedin.com/in/paul-mclean-65850515a,"['SolidWorks', 'fundamentals', 'CNC']",solidworks proficiency,cam fundamentals,cnc programming,[],0
bharat-malhotra-7a6269141,[''],['Computer Science and Engineering'],38,https://www.linkedin.com/in/bharat-malhotra-7a6269141,"['Penetration', 'Security', 'Security']",penetration testing,cloud security auditing,cloud security implementation,"['CKAD: Certified Kubernetes Application Developer', 'AWS Certified Solutions Architect – Professional', 'AWS Certified DevOps Engineer – Professional', 'CompTIA Security+ ce Certification', 'HashiCorp Certified: Terraform Associate', 'Hashicorp Certified: Vault Associate', 'Amazon Web Services SysOps Administrator - Associate', 'AWS Certified Security - Specialty', 'AWS Certified Developer - Associate', 'AWS Solutions Architect - Associate']",0
lucas-reece-32331519,"['programming principles', 'algorithms data structures', 'data science: fundamentals', 'discrete structures', 'elementary computational linear algebra', 'elementary mathematical logic', 'foundations human factors ergonomics', 'history computing', 'internet programming', 'intro algorithms data structures', 'intro computing programming concepts', 'introduction artificial intelligence', 'introduction operating systems', 'introduction probability statistics', 'machine architecture organization', 'multivariable calculus', 'organic chemistry', 'organic chemistry', 'organic chemistry lab', 'program design development', 'user interface design', 'implementation evaluation']",['Computer Science and Engineering'],119,https://www.linkedin.com/in/lucas-reece-32331519,"['Logical', 'Programming', 'Data']",logical reasoning,programming fundamentals,data analysis,[],1
tim-gill-bb72538,[''],[],72,https://www.linkedin.com/in/tim-gill-bb72538,"['Agile', 'architecture', 'Java']",agile development,cloud architecture,java multithreading,[],0
rajanv,[''],"['Embedded Systems Engineering', 'Software Engineering and Computing Technologies']",155,https://www.linkedin.com/in/rajanv,"['Device', 'development', 'Microservices', 'network']",device driver development,microservices architecture,5g network planning,"['Introduction to Big Data Analytics', 'Machine Learning: Regression', 'Hadoop Platform and Application Framework', 'Machine Learning Foundations: A Case Study Approach', 'Introduction to Big Data', 'Machine Learning Specialization', 'Big Data Specialization', 'Specialized Java Certification']",1
prathyusha-yelleni-55235450,[''],"['Computer Science and Engineering', 'Electronics and Communication']",128,https://www.linkedin.com/in/prathyusha-yelleni-55235450,"['Cloud', 'Programming Paradigms', 'Java']",cloud computing,websocket programming,java development,"['Programming Foundations: Web Security', 'Learning REST APIs', 'oracle certified java programmer']",1
yufay-chow-yee-65016a93,[''],"['Mechanical Engineering and Related Fields', 'Mechanical Engineering and Related Fields']",107,https://www.linkedin.com/in/yufay-chow-yee-65016a93,"['3D', 'Additive', 'CAD']",3d modeling,additive manufacturing,cad software,[],1
cuulonghuynh,[''],['Engineering and Production Technologies'],298,https://www.linkedin.com/in/cuulonghuynh,"['Test', 'Risk and Vulnerability Management']",test case design,test execution,defect reporting,[],2
tituswinters,[''],"['Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering']",283,https://www.linkedin.com/in/tituswinters,"['Machine', 'algorithms\xa0', 'C']",machine learning algorithms,c programming,,[],2
saket-tripathy-447384a8,[''],['Electrical Engineering and Electronics'],109,https://www.linkedin.com/in/saket-tripathy-447384a8,"['Leadership', 'GUI', 'Data']",leadership principles,gui programming,data analysis,[],1
chaoleihua,"['hci design', 'algorithms data structures', 'applied machine learning', 'computer graphics', 'database application', 'image processing', 'operation systems', 'virtual reality', 'web app performance monitoring', 'web client language']","['STEM', 'Computational Mathematics and Engineering']",48,https://www.linkedin.com/in/chaoleihua,"['Data', 'Website', 'Java']",data structures,website development,java arrays,[],0
jianingshan,[''],"['Analytics and Business Intelligence', 'Business and Finance Studies', 'Engineering and Sciences', 'Quantitative Economics and Mathematics']",56,https://www.linkedin.com/in/jianingshan,"['Data', 'Predictive', 'Data']",data analysis,predictive modeling,data visualization,['Google Analytics for Beginners'],0
carlos-martinez-baltazar,[''],"['Computer Science and Engineering', 'School and Education']",52,https://www.linkedin.com/in/carlos-martinez-baltazar,"['Camera', 'development', 'Android', 'development']",camera settings,xcode development,android app development,[],0
rohit-lal-chandani,[''],['Information Technology'],51,https://www.linkedin.com/in/rohit-lal-chandani,"['Data', 'Data', 'SQL']",data analysis,data engineering,sql proficiency,"['Microsoft SQL Server 2008, Business Intelligence Development and Maintenance (70-448)', 'Microsoft SQL Server 2008, Database Development (70-433)']",0
cdashudu,"['cloud computing', 'dbms', 'enterprise storage architecture', 'internet protocol', 'network security', 'operating system', 'software security', 'switched network management']","['Network Engineering and Administration', 'Computer Science and Engineering']",26,https://www.linkedin.com/in/cdashudu,"['Cloud', 'Container', 'Serverless']",cloud security,container deployment,serverless architecture,['Android Certification'],0
chris-q-ma,[''],['Mechanical Engineering and Related Fields'],123,https://www.linkedin.com/in/chris-q-ma,"['Sheet', 'design', 'CNC', 'site', 'modeling']",sheet metal design,cnc topographic site modeling,advanced modeling techniques,['Creo Parametric Fundamentals Certification 2020'],1
brent-bryan,[''],"['Machine Learning and Computer Vision', 'Astrophysics', 'Astrophysics']",251,https://www.linkedin.com/in/brent-bryan,"['AI', 'Development', 'Cloud', 'Application']",ai strategy development,agile development methodologies,cloud native application design,[],2
jschulze,[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",381,https://www.linkedin.com/in/jschulze,"['Concurrency', 'Parallel', 'Multithreading']",concurrency management,parallel programming,multithreading,[],2
gautam-arakalgud-3070038b,[''],"['Machine Learning and Computer Vision', '', 'Natural and Applied Sciences']",81,https://www.linkedin.com/in/gautam-arakalgud-3070038b,"['Template', 'Concurrency', 'Machine', 'Data Foundations and Algorithmics']",template programming,concurrency management,machine learning algorithms,['Machine Learning'],0
cjdb-ns,[''],['Computer Science and Engineering'],139,https://www.linkedin.com/in/cjdb-ns,"['Concurrency', 'Concurrency Management', 'Concurrency and Synchronization', 'C++', 'structures', 'Data Foundations and Algorithmics', 'Python']",concurrency  parallelism  synchronization,c++ programming  data structures  algorithms,python programming  multithreading  multiprocessing,[],1
ruchi-shah-574286117,[''],['Computer Science and Engineering'],103,https://www.linkedin.com/in/ruchi-shahh,['Web'],web development,html,mongodb,[],1
husnu-masaracioglu-57221b14,[''],[],421,https://www.linkedin.com/in/husnu-masaracioglu-57221b14,"['Cybersecurity', 'Modular', 'Project']",cybersecurity fundamentals,modular synthesis techniques,github project management,[],2
samir-gupta-8aa82511,[''],"['Electrical Engineering and Related Disciplines', 'Electrical and Computer Engineering']",0,https://www.linkedin.com/in/samir-gupta-8aa82511,"['Windows', 'test', 'Linux', 'development']",windows 10 installation,python test automation,linux kernel development,[],0
eromoseleuduebho,"['application-specific integrated circuit', 'computer architecture', 'digital integrated circuit design', 'microprocessor systems design', 'verilog workshop']","['Electrical and Computer Engineering', 'Engineering and Applied Sciences']",66,https://www.linkedin.com/in/eromoseleuduebho,"['create', 'GitHub', 'job']",create electronic music,play mandolin,use github for job search,[],0
josue-cuellar-dominguez,[''],[],17,https://www.linkedin.com/in/josue-cuellar-dominguez,"['HTML/CSS', 'React', 'Android', 'Cybersecurity']",html/css coding,react development,android app security testing,[],0
jimmy-wu-39039161,[''],['Computer Science and Engineering'],55,https://www.linkedin.com/in/jimmy-wu-39039161,"['Parallel', 'Efficient', 'Asynchronous']",parallel programming,efficient coding,asynchronous programming,[],0
wenjun-g-b9a5b76b,[''],"['Electrical and Computer Engineering', 'Electrical and Computer Engineering', 'Control Engineering']",81,https://www.linkedin.com/in/wenjun-g-b9a5b76b,"['Smart', 'architecture']",smart contract development,serverless architecture,microservice architecture,[],0
nisha-shrestha-2b1b61202,[''],['Business and Administration'],81,https://www.linkedin.com/in/nisha-shrestha-2b1b61202,"['Linux', 'administration', 'Active', 'management', 'Backup', 'recovery']",linux system administration,active directory management,backup and recovery techniques,[],0
kristin-barber-44878135,[''],"['Engineering and Sciences', 'Electrical and Computer Engineering', 'Electrical and Computer Engineering']",141,https://www.linkedin.com/in/kristin-barber-44878135,"['Network', 'Analysis', 'Performance']",network administration,security analysis,performance optimization,[],1
kshitijakhot,"['database systems', 'operating systems', 'web programming', 'autonomous vehicle magnetics', 'computer networks', 'design analysis algorithms', 'digital signal processing', 'digital signal processing', 'operating systems', 'wireless mobile networks']","['Computer Science and Engineering', 'Electronics and Communication']",46,https://www.linkedin.com/in/kshitijakhot,"['Ruby', 'Rails', 'Data', 'Automation Engineering', 'design']",ruby on rails development,data structure implementation,selenium automation framework design,[],0
thuyflinh,"['first-year research experience', 'calculus', 'calculus', 'composition rhetoric', 'computing', 'engineering', 'society', 'elements discrete mathematics', 'first-year research experience', 'fundamentals programming problem solving', 'general physics', 'history western art: renaissance - modern', 'introduction computing engineering', 'object-oriented programming', 'american university']",['Computer Science and Engineering'],60,https://www.linkedin.com/in/thuyflinh,"['Concurrency', 'Synchronization', 'Performance', 'Time', 'Syntax', 'Java', 'Development']",concurrency  synchronization  performance,time management  teamwork  communication,java syntax  java features  java development,['Neural Networks and Deep Learning'],0
evan-cohn-2a51595,[''],['Computer Science and Engineering'],0,https://www.linkedin.com/in/evan-cohn-2a51595,"['FPGA', 'Performance', 'Verilog']",fpga design,performance optimization,verilog coding,[],0
joanna-peh,[''],"['Management and Business', 'Statistical Sciences']",75,https://www.linkedin.com/in/joanna-peh,"['Pricing', 'Data Visualization and Analysis', 'Market']",pricing analysis,data visualization,market research,['Lean Six Sigma'],0
jason-epperly-252b07a,[''],[],48,https://www.linkedin.com/in/jason-epperly-252b07a,"['Network', 'Server', 'System']",network management,server administration,system troubleshooting,"['Connected Communities - Lead 2023', 'Connected Communities - Lead 2022', 'Connected Communities - Subject Matter Expert 2022', 'Extreme Ownership Foundation Course Completion', 'Senior Technical Leadership Program - Alumni', 'Senior Technical Leadership Program - Alumni', 'Connected Communities - Subject Matter Expert 2021', 'Connected Communities - Subject Matter Expert 2021', 'Unconscious Bias', 'Microsoft Certified Technology Specialist - Windows Internals', 'Microsoft Certified Systems Administrator - Windows Server 2003', 'Microsoft Certified Systems Engineer - Windows Server 2003']",0
donshan98,[''],['Digital Media and Communications'],13,https://www.linkedin.com/in/donshan98,"['IoT', 'management', 'Linux', 'development', 'Embedded', 'Programming Paradigms']",iot device management,linux kernel development,embedded c programming,[],0
yixuan-shi-a864a770,"['algorithm analysis', 'computer network telecommunication', 'database system design', 'large scale information system', 'objective oriented programming data structure', 'operation system', 'software engineering', 'c language programming', 'introduction wlan', 'wireless communication', 'communication theory', 'computer architecture', 'internet protocol architecture', 'objective oriented programming c++']","['Computer Science and Engineering', 'Communications and Electronics Engineering', 'Communications and Electronics Engineering']",111,https://www.linkedin.com/in/yixuanshi,"['Asynchronous', 'Form', '.NET', 'basics']",asynchronous programming,form validation,.net core basics,[],1
tyler-la-vay-41915863,[''],"['Languages and Literature', 'Information Systems Management and Technology', 'Software Engineering and Computing Technologies', 'Software Engineering and Computing Technologies']",251,https://www.linkedin.com/in/tylerlavay90,"['Kotlin', 'ASP.NET', 'Advanced', 'Programming Paradigms']",kotlin fundamentals,asp.net deployment,advanced .net programming,[],2
matthewboney,[''],[],226,https://www.linkedin.com/in/matthewboney,"['Train', 'AI', 'Write', 'Windows']",train generative ai models,write shell scripts,manage windows devices,[],1
brandon-bauer-5a389990,[''],"['Digital Media and Communications', 'Information Technology']",37,https://www.linkedin.com/in/brandon-bauer-5a389990,"['Storage', 'Network', 'System']",storage management,network configuration,system administration,['ITIL V3 Foundation Certificate'],0
reginald-thomas-b97b28162,[''],['Computer Science and Engineering'],52,https://www.linkedin.com/in/reggiecolethomas,"['Microservice', 'AWS', 'Programming']",microservice development,aws cloud architecture,java programming,"['Severless Framework Bootcamp: Node.js, AWS & Microservices']",0
famontemayor,[''],['Computer Science and Engineering'],11,https://www.linkedin.com/in/famontemayor,"['Software', 'Programming Paradigms', 'Web']",software design,java programming,web development,[],0
anthony-smith-60708a2a,[''],"['Computer Science and Engineering', 'Electronics and Computer Technology']",148,https://www.linkedin.com/in/anthony-smith-60708a2a,"['Manage', 'Configure', 'Use']",manage ansible,configure firewalls,use selinux,"['Enterprise System Management and Security', 'Programming for Everybody (Getting Started with Python)']",1
rebecca-mikolajczyk-0515b01a,"['acoustic testing modeling', 'circuits', 'circuits', 'computers physics', 'digital circuits', 'discrete time signals systems', 'ee capstone/senior design', 'electromagnetic fields applicaitons', 'electronics lab', 'modern physics', 'numerical methods matrices', 'optics', 'probability statistics', 'quantum mechanics', 'quantum mechanics', 'theoretical mechanics', 'thermodynamics statistical physics', 'vibration', 'sound light']","['Physical Sciences and Engineering', 'Engineering and Applied Sciences']",140,https://www.linkedin.com/in/rebecca-mikolajczyk-0515b01a,"['Product', 'Modular', 'Project']",product visioning,modular synthesis,project management,[],1
denis-berger-0a183088,[''],[],0,https://www.linkedin.com/in/denis-berger-0a183088,"['Multithreading', 'Creational', 'Patterns', 'Asynchronous']",multithreading,creational design patterns,asynchronous programming,[],0
rahul-tandon-b33493123,[''],[],0,https://www.linkedin.com/in/rahul-tandon-b33493123,"['Web', 'Development', 'Java', 'Development', 'gRPC', 'Development']",web service development,java ee development,grpc microservice development,[],0
kinori-sugihara-rosnow-18ab4ab5,['japanese business culture ettiquette'],"['Information Sciences and Engineering', 'Physical Sciences and Engineering']",99,https://www.linkedin.com/in/kinori-sugihara-rosnow,"['Hadoop', 'Programming Paradigms', 'Spark']",hadoop administration,python programming,spark scaling,[],0
seandsmith,[''],[],198,https://www.linkedin.com/in/seandsmith,"['Neural', 'training', 'Microservice', 'Programming Paradigms']",neural network training,microservice architecture,functional programming,['Functional Programming Principles in Scala'],1
ryan-chan-768b351a9,"['calculus', 'data structures', 'introduction computer organization', 'linear analysis', 'project-based object-oriented programming design', 'systems programming']",[],72,https://www.linkedin.com/in/ryan-chan7,"['Asynchronous', 'Coding Expertise', 'Full-stack']",asynchronous programming,ai-assisted coding,full-stack development,"['Python Data Structures', 'Programming for Everybody (Getting Started with Python)', 'Linear Circuits 1: DC Analysis']",0
briehubble,[''],"['Computer Science and Engineering', 'Digital Media and Communications']",143,https://www.linkedin.com/in/briehubble,"['Game', 'game']",game design principles,javascript programming,2d game development,[],1
shan-he-72629b12,[''],['Computer Science and Engineering'],18,https://www.linkedin.com/in/shan-he-72629b12,"['Data', 'architecture', 'AutoCAD']",data analysis,cloud architecture,autocad annotation,[],0
alextrosset,[''],['Computer Systems and Systems Engineering'],399,https://www.linkedin.com/in/alextrosset,"['Java', 'development', 'design', 'layer', 'technologies']",java ee development,software design,network layer 3 technologies,['Zuora Solution Architect Certification'],2
milos-jesic-4496317a,[''],"['Sustainable Energy and Environmental Law', 'Power Engineering']",75,https://www.linkedin.com/in/milos-jesic-4496317a,"['Hardware', 'Table', 'Electrical']",hardware troubleshooting,pivot table creation,revit electrical design,[],0
hongbo-yan-1b3a7713a,[''],['Electrical Engineering and Related Disciplines'],227,https://www.linkedin.com/in/hongbo-yan-1b3a7713a,"['Network', 'Security', 'practices', 'performance']",network simulation,security best practices,python performance optimization,[],1
kriti-hedau-674666b6,[''],"['Electrical and Computer Engineering', 'Electronics and Communication']",46,https://www.linkedin.com/in/kritihedau18,"['CircuitPython', 'Arduino', 'JavaScript']",circuitpython programming,arduino prototyping,javascript debugging,"['C++', 'Embedded C']",0
shensoh,[''],['Chemical Engineering and Allied Sciences'],103,https://www.linkedin.com/in/shensoh,"['Data', 'Problem', 'Communication']",data analysis,problem solving,communication,[],1
jennifer-lane-672b5337,[''],['Information and Communication Technologies (ICT)'],203,https://www.linkedin.com/in/jennifer-lane-672b5337,"['Network', 'tunneling', 'Linux', 'line']",network configuration,ssh tunneling,linux command line,[],1
narendranath-balasubramoni-a3167553,[''],"['Electrical and Computer Engineering', 'Computer Science and Related']",116,https://www.linkedin.com/in/narendranath-balasubramoni,"['GUI', 'Sensor', 'Employee']",gui programming,sensor interfacing,employee development,[],1
yang-yang-2401b21b6,[''],['Computer Science and Engineering'],15,https://www.linkedin.com/in/yang-yang-2401b21b6,"['Full-stack', 'Framework', 'React.js']",full-stack development,spring framework,react.js,[],0
vamshigannarapu,[''],[],98,https://www.linkedin.com/in/vamshigannarapu,"['Web', 'management', 'Front-end']",web development,database management,front-end development,[],0
naritapandhe,"['data mining', 'data science practicum', 'database management systems', 'distributed systems', 'machine learning']","['Computer Science and Engineering', 'Information Technology', 'Electrical and Computer Engineering']",42,https://www.linkedin.com/in/naritapandhe,"['Neural', 'design', 'TensorFlow', 'learning']",neural network design,tensorflow implementation,deep learning fundamentals,[],0
justinmourfield,[''],[],9,https://www.linkedin.com/in/justinmourfield,"['Brand', 'Internal', 'Creative']",brand storytelling,internal communication,creative problem-solving,"['Joint Personnel Recovery', 'Defense Strategic Debriefing Course', 'Equal Opportunity Representative Certification', 'Joint HUMINT Analysis and Targeting Course', 'MTA: Software Development Fundamentals - Certified 2018', 'Source Operations Course']",0
rita-marino,[''],['Humanities and Social Studies'],22,https://www.linkedin.com/in/rita-marino,"['IT', 'Business', 'Cybersecurity']",it governance,business continuity,cybersecurity,['Project Management Professional (PMP)'],0
phani-daggubati-7a9803102,[''],['Information Technology'],6,https://www.linkedin.com/in/phani-daggubati-7a9803102,"['JavaScript', 'Analysis', 'Design']",javascript programming,data analysis techniques,web design principles,[],0
ramlalkarri,"['vlsi design', 'computer architecture', 'future microelectronics technology', 'hands-on hardware security', 'introduction hardware security trust', 'reconfigurable computing', 'semiconductor device fabrication lab', 'vlsi circuits technology']","['Electrical and Computer Engineering', 'Electronics and Communication', 'Natural Sciences and Mathematics']",82,https://www.linkedin.com/in/ramlalkarri,"['GitHub', 'architecture', 'Python', 'Data Analytics Suite']",github proficiency,software architecture,python data analysis,[],0
pulkit-rohilla-09640496,[''],['Computer Science and Engineering'],52,https://www.linkedin.com/in/pulkit-rohilla,"['iOS', 'tvOS', 'App']",ios development,tvos development,app development,[],0
ahmed-abouelnaga-2a8017208,[''],"['Electrical and Computer Engineering', 'Electrical and Computer Engineering']",78,https://www.linkedin.com/in/ahmed-abouelnaga-2a8017208,"['Data', 'Programming', 'Computational']",data analysis,object-oriented programming,computational thinking,[],0
danhernandez5,[''],['Chemical Engineering and Allied Sciences'],57,https://www.linkedin.com/in/danhernandez5,"['Ladder', 'Troubleshooting']",ladder logic programming,industrial automation,plc troubleshooting,"['Siemens Automation Fundamentals: PLC', 'Supervised Machine Learning: Regression and Classification', 'Siemens S7 Programming 1']",0
gokulvijayakumar,[''],"['Electrical Engineering and Related Disciplines', 'Electronics and Communication']",170,https://www.linkedin.com/in/gokulvijayakumar,"['Git', 'Software', 'Senior', 'building']",git workflow,software architecture,senior relationship building,[],1
ronaksarda,[''],"['Industrial Engineering Cluster', 'Mechanical Engineering and Related Fields']",48,https://www.linkedin.com/in/ronaksarda,"['Data', 'management']",data analysis,analytics,project management,['Six Sigma Green Belt Certificate'],0
trenton-morrell-b990b512a,"['cloud software development', 'intro computer organization', 'software design data structures']",['Computer Science and Engineering'],28,https://www.linkedin.com/in/trenton-morrell,"['Data', 'RESTful', 'Development']",data modeling,restful api development,ui development,[],0
jamaal-lewis-55988b14a,[''],['Electrical Engineering and Electronics'],8,https://www.linkedin.com/in/jamaal-lewis-55988b14a,"['Digital', 'awareness', 'FPGA']",digital design,cybersecurity awareness,fpga programming,[],0
petternasholm,[''],"['Computer Science and Engineering', 'Business and Administration', 'Computer Science and Engineering', 'Engineering and Sciences']",16,https://www.linkedin.com/in/petternasholm,"['Unit', 'quality', 'Continuous']",unit testing,code quality,continuous integration,[],0
huizehuang,"['database system', 'robotics', 'intro. optimization theory', 'machine perception', 'statistics data science', 'system-on-a-chip architecture']","['Electrical Engineering and Related Disciplines', 'Computing and Information Technologies', 'Electrical Engineering and Electronics']",17,https://www.linkedin.com/in/huizehuang,"['Web', 'Spring', 'Computer']",web development,spring framework,computer vision,['Java Programming: Solving Problems with Software'],0
kvakshith,"['data mining', 'database organization', 'operating system', 'big data technologies', 'biometrics', 'enterprise web applications', 'geospatial vision/visualization', 'mobile application development', 'science programming', 'software project management']","['Computer Science and Engineering', 'Computer Science and Engineering']",17,https://www.linkedin.com/in/kvakshith,"['Web', 'app']",web server management,full-stack development,cli app development,"['The Complete Node.js Course', 'Java Programming: Complete Beginner to Advanced', 'Mastering React', 'The Complete JavaScript Course 2021']",0
martin-fecteau-25084b27,"['designing compliance iec 60601-1 3rd edition', 'negotiation skills project managers', 'risk management', 'systems engineering principles', 'data science certificate from microsoft academy']",['Electrical Engineering and Related Disciplines'],113,https://www.linkedin.com/in/martin-fecteau-25084b27/en,"['Agile', 'Methodology', 'Lean']",agile development,scrum methodology,lean principles,"['Become a Software Project Manager', 'Develop Critical-Thinking, Decision-Making, and Problem-Solving Skills', 'Improve Your Problem-Solving Skills', 'Agile Foundations', 'Data Science Certificate', 'Dale Carnegie Course', 'Root-Cause Analysis']",1
davealongi,[''],['Computer Science and Engineering'],187,https://www.linkedin.com/in/davealongi,"['Scrum', 'deployment', '.NET']",scrum methodologies,cloud deployment,.net programming,[],1
matthieutardy,[''],['Engineering and Applied Sciences'],21,https://www.linkedin.com/in/matthieutardy,"['Cybersecurity', 'Data Analytics Suite', 'handling']",cybersecurity fundamentals,malware analysis techniques,incident handling procedures,[],0
danli-wang-886965100,"['vlsi design', 'bipolar analog ic design', 'computer architecture', 'distributed operating system', 'fundamentals data comverter', 'network science applications', 'reconfigurable computing', 'semiconductor device fabrication', 'vlsi circuits technology']","['Electrical and Computer Engineering', 'Computer Science and Engineering', 'Automation and Control Engineering']",25,https://www.linkedin.com/in/danli-wang-886965100,"['Java', 'Opportunity', 'PCB']",java programming,opportunity identification,pcb design,[],0
prasannakumarchinthapatla,[''],['Computer Science and Engineering'],69,https://www.linkedin.com/in/prasannakumarchinthapatla,"['Spring', 'WebSocket', 'Angular']",spring framework,websocket development,angular development,[],0
yang-you-2458692b,[''],['Chemical Sciences'],162,https://www.linkedin.com/in/yang-you-2458692b,"['Cross-platform', 'in', 'design']",cross-platform development,grpc in python,c++ design patterns,[],1
